Variable_ID,Variable_Description,Variable_Unit,Segment_ID
STATUS,Status Register,-,1
PUBLISH,Publish Register,-,1
STOP,Stop Register,-,1
B_IV,Battery Instant Voltage,V,2
B_AV,Battery Average Voltage,V,2
B_EV,Battery Empty Voltage,V,2
B_RV,Battery Recover Voltage,V,2
B_IC,Battery Instant Current,A,2
B_AC,Battery Average Current,A,2
B_SOC,Battery State of Charge,%,2
B_SOCA,Battery Average State of Charge,%,2
B_IC,Battery Instant Capacity,mAh,2
B_DC,Battery Design Capacity,mAh,2
B_FC,Battery Full Capacity,mAh,2
B_T,Battery Temperature,C,2
B_TTE,Battery Time to Empty,Min,2
B_TTF,Battery Time to Full,Min,2
B_CC,Battery Cycle Count,-,2
B_Age,Battery Age,Day,2
B_H,Battery Health,%,2
B_CS,Battery Charge Status,-,2
MCC,GSM Operator Country Code,-,3
MNC,GSM Operator Network Code,-,3
TAC,GSM TAC ID,-,3
LAC,GSM LAC ID,-,3
Cell_ID,GSM Cell ID,-,3
RSSI,RSSI,dBm,3
ConnTime,Connection Time,Sec,3
WDS,Connection Type,-,3
Latitude,Latitude,Degree,4
Longitude,Longitude,Degree,4
Altitude,Altitude,m,4
Speed,Speed,m/Sn,4
Head,Heading,Degree,4
H_Acc,Horizontal Accuracy,m,4
V_Acc,Vertical Accuracy,m,4
P_Acc,Position Accuracy,m,4
Fix,Position Fix Type,-,4
PCB_T,PCB Temperature,C,5
PCB_H,PCB Humidity,%,5
AT,Air Temperature,C,5
AT_Daily,Air Temperature Daily Average,C,5
AT_FL,Feel Temperature,C,5
AT_FL_Daily,Feel Temperature Daily Average,C,5
AT_Dew,Dew Point,C,5
AT_Dew_Daily,Dew Point Daily Average,C,5
AH,Air Humidity,%,5
AH_Daily,Air Humidity Daily Average,%,5
AP,Air Pressure,hPa,5
AP_Daily,Air Pressure Daily Average,hPa,5
UV,UV Index,-,5
VL,Visual Light,Lux,5
IL,Infrared Light,Lux,5
ST,Soil Temperature,C,5
ST0,Soil Temperature 10 cm,C,5
ST1,Soil Temperature 20 cm,C,5
ST2,Soil Temperature 30 cm,C,5
ST3,Soil Temperature 40 cm,C,5
ST4,Soil Temperature 50 cm,C,5
ST5,Soil Temperature 60 cm,C,5
ST6,Soil Temperature 70 cm,C,5
ST7,Soil Temperature 80 cm,C,5
ST8,Soil Temperature 90 cm,C,5
SM,Soil Moisture,%,5
SM0,Soil Moisture 10 cm,%,5
SM1,Soil Moisture 20 cm,%,5
SM2,Soil Moisture 30 cm,%,5
SM3,Soil Moisture 40 cm,%,5
SM4,Soil Moisture 50 cm,%,5
SM5,Soil Moisture 60 cm,%,5
SM6,Soil Moisture 70 cm,%,5
SM7,Soil Moisture 80 cm,%,5
SM8,Soil Moisture 90 cm,%,5
SEC,Soil EC,ms/cm,5
SEC0,Soil EC 10 cm,ms/cm,5
SEC1,Soil EC 20 cm,ms/cm,5
SEC2,Soil EC 30 cm,ms/cm,5
SEC3,Soil EC 40 cm,ms/cm,5
SEC4,Soil EC 50 cm,ms/cm,5
SEC5,Soil EC 60 cm,ms/cm,5
SEC6,Soil EC 70 cm,ms/cm,5
SEC7,Soil EC 80 cm,ms/cm,5
SEC8,Soil EC 90 cm,ms/cm,5
SS,Soil Salinity,ppm,5
SS0,Soil Salinity 10 cm,ppm,5
SS1,Soil Salinity 20 cm,ppm,5
SS2,Soil Salinity 30 cm,ppm,5
SS3,Soil Salinity 40 cm,ppm,5
SS4,Soil Salinity 50 cm,ppm,5
SS5,Soil Salinity 60 cm,ppm,5
SS6,Soil Salinity 70 cm,ppm,5
SS7,Soil Salinity 80 cm,ppm,5
SS8,Soil Salinity 90 cm,ppm,5
SWP,Soil Water Potential,kPa,5
SWP0,Soil Water Potential 10 cm,kPa,5
SWP1,Soil Water Potential 20 cm,kPa,5
SWP2,Soil Water Potential 30 cm,kPa,5
SWP3,Soil Water Potential 40 cm,kPa,5
SWP4,Soil Water Potential 50 cm,kPa,5
SWP5,Soil Water Potential 60 cm,kPa,5
SWP6,Soil Water Potential 70 cm,kPa,5
SWP7,Soil Water Potential 80 cm,kPa,5
SWP8,Soil Water Potential 90 cm,kPa,5
R,Rain Tip Counter,-,5
RA,Rain Accumulation,mm,5
WS,Wind Speed,m/Sn,5
WS1,Wind Speed Sensor 1,m/Sn,5
WS2,Wind Speed Sensor 2,m/Sn,5
WS3,Wind Speed Sensor 3,m/Sn,5
WGS,Wind Gust Speed,m/Sn,5
WGS1,Wind Gust Speed Sensor 1,m/Sn,5
WGS2,Wind Gust Speed Sensor 2,m/Sn,5
WGS3,Wind Gust Speed Sensor 3,m/Sn,5
WD,Wind Direction,Degree,5
WC,Wind Chill,C,5
HI,Heat Index,C,5
HSI,Heat Stress Index,C,5
THSW,THSW Index,C,5
THW,THW Index,C,5
CO2,CO2,ppm,5
CO,CO,ppm,5
NO2,NO2,ppm,5
O3,O3,ppm,5
SO2,SO2,ppm,5
PM1,PM1,ug/m3,5
PM2.5,PM2.5,ug/m3,5
PM10,PM10,ug/m3,5
PM4,PM4,ug/m3,5
PM0.5,PM0.5,ug/m3,5
PM0.3,PM0.3,ug/m3,5
PM0.1,PM0.1,ug/m3,5
WP,Water Pressure,Bar,6
WP_I,Water Pressure Instant,Bar,6
WP_MIN,Water Pressure Minimum,Bar,6
WP_MAX,Water Pressure Maximum,Bar,6
WP_Avg,Water Pressure Average,Bar,6
